"id","name","height","weight","genus","description"
179,"Mareep",6,78,"Wool Pokémon","Mareep’s fluffy coat of wool rubs together and builds a static
charge. The more static electricity is charged, the more brightly
the lightbulb at the tip of its tail glows."
180,"Flaaffy",8,133,"Wool Pokémon","Flaaffy’s wool quality changes so that it can generate
a high amount of static electricity with a small amount of
wool. The bare and slick parts of its hide are shielded
against electricity."
181,"Ampharos",14,615,"Light Pokémon","Ampharos gives off so much light that it can be seen even from
space. People in the old days used the light of this Pokémon
to send signals back and forth with others far away."
182,"Bellossom",4,58,"Flower Pokémon","A Bellossom grows flowers more beautifully if it has evolved
from a smelly Gloom—the more stinky the better. At night, this
Pokémon closes its petals and goes to sleep."
183,"Marill",4,85,"Aqua Mouse Pokémon","When fishing for food at the edge of a fast-running stream,
Marill wraps its tail around the trunk of a tree. This Pokémon’s
tail is flexible and configured to stretch."
184,"Azumarill",8,285,"Aqua Rabbit Pokémon","Azumarill can make balloons out of air. It makes these air
balloons if it spots a drowning Pokémon. The air balloons
enable the Pokémon in trouble to breathe."
185,"Sudowoodo",12,380,"Imitation Pokémon","Apparently, the larger the green parts of this
Pokémon, the more collectors value it. It’s a
particular favorite among elderly people."
186,"Politoed",11,339,"Frog Pokémon","It’s the leader of Poliwag and Poliwhirl.
When Politoed roars, they all cower in fear."
187,"Hoppip",4,5,"Cottonweed Pokémon","This Pokémon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away."
188,"Skiploom",6,10,"Cottonweed Pokémon","Skiploom’s flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokémon
is sometimes used as a thermometer."
189,"Jumpluff",8,30,"Cottonweed Pokémon","Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The Pokémon descends to the ground when it
encounters cold air while it is floating."
190,"Aipom",8,115,"Long Tail Pokémon","Aipom’s tail ends in a hand-like appendage that can be cleverly
manipulated. However, because the Pokémon uses its tail so
much, its real hands have become rather clumsy."
191,"Sunkern",3,18,"Seed Pokémon","Sunkern tries to move as little as it possibly can. It does so
because it tries to conserve all the nutrients it has stored in its
body for its evolution. It will not eat a thing, subsisting only on
morning dew."
192,"Sunflora",8,85,"Sun Pokémon","Sunflora converts solar energy into nutrition. It moves around
actively in the daytime when it is warm. It stops moving as
soon as the sun goes down for the night."
193,"Yanma",12,380,"Clear Wing Pokémon","Yanma is capable of seeing 360 degrees without having to
move its eyes. It is a great flier that is adept at making sudden
stops and turning midair. This Pokémon uses its flying ability
to quickly chase down targeted prey."
194,"Wooper",4,85,"Water Fish Pokémon","Wooper usually lives in water. However, it occasionally comes
out onto land in search of food. On land, it coats its body with
a gooey, toxic film."
195,"Quagsire",14,750,"Water Fish Pokémon","Quagsire hunts for food by leaving its mouth wide open in
water and waiting for its prey to blunder in unaware. Because
the Pokémon does not move, it does not get very hungry."
196,"Espeon",9,265,"Sun Pokémon","It unleashes psychic power from the orb on its
forehead. When its power is exhausted, the orb
grows dull and dark."
197,"Umbreon",10,270,"Moonlight Pokémon","With its black fur, it blends into the darkness.
It bides its time, and when prey appears, this
Pokémon goes for its throat, and then eats it."
198,"Murkrow",5,21,"Darkness Pokémon","Seen as a symbol of bad luck, it’s generally
disliked. Yet it gives presents—objects that
sparkle or shine—to Trainers it’s close to."
199,"Slowking",20,795,"Royal Pokémon","This Pokémon is so famed for its intellect that a
proverb still persists in some regions: “When in
doubt, ask Slowking.”"
200,"Misdreavus",7,10,"Screech Pokémon","If you hear a sobbing sound emanating from a
vacant room, it’s undoubtedly a bit of mischief
from Misdreavus."
201,"Unown",5,50,"Symbol Pokémon","This Pokémon is shaped like ancient writing. It is a mystery as
to which came first, the ancient writings or the various Unown.
Research into this topic is ongoing but nothing is known."
202,"Wobbuffet",13,285,"Patient Pokémon","Wobbuffet does nothing but endure attacks—it won’t attack on
its own. However, it won’t endure an attack on its tail. When
that happens, the Pokémon will try to take the foe with it using
Destiny Bond."
203,"Girafarig",15,415,"Long Neck Pokémon","Girafarig’s rear head contains a tiny brain that is too small for
thinking. However, the rear head doesn’t need to sleep, so it
can keep watch over its surroundings 24 hours a day."
204,"Pineco",6,72,"Bagworm Pokémon","Pineco hangs from a tree branch and patiently waits for prey to
come along. If the Pokémon is disturbed while eating by
someone shaking its tree, it drops down to the ground and
explodes with no warning."
205,"Forretress",12,1258,"Bagworm Pokémon","Forretress conceals itself inside its hardened steel shell.
The shell is opened when the Pokémon is catching prey,
but it does so at such a quick pace that the shell’s inside
cannot be seen."
206,"Dunsparce",15,140,"Land Snake Pokémon","Dunsparce has a drill for its tail. It uses this tail to burrow into
the ground backward. This Pokémon is known to make its
nest in complex shapes deep under the ground."
207,"Gligar",11,648,"Fly Scorpion Pokémon","Gligar glides through the air without a sound as if it were
sliding. This Pokémon hangs on to the face of its foe using
its clawed hind legs and the large pincers on its forelegs, then
injects the prey with its poison barb."
208,"Steelix",92,4000,"Iron Snake Pokémon","Steelix lives even further underground than Onix.
This Pokémon is known to dig toward the earth’s core.
There are records of this Pokémon reaching a depth of
over six-tenths of a mile underground."
209,"Snubbull",6,78,"Fairy Pokémon","Its growls make its opponents uneasy. This
laid-back Pokémon tends to sleep half the day."
210,"Granbull",14,487,"Fairy Pokémon","More timid than Snubbull, this Pokémon is doted
on by young people amused at the contrast
between its looks and its attitude."
211,"Qwilfish",5,39,"Balloon Pokémon","Qwilfish sucks in water, inflating itself. This Pokémon
uses the pressure of the water it swallowed to shoot toxic
quills all at once from all over its body. It finds swimming
somewhat challenging."
212,"Scizor",18,1180,"Pincer Pokémon","Once it has identified an enemy, this Pokémon
smashes it mercilessly with pincers hard
as steel."
213,"Shuckle",6,205,"Mold Pokémon","Shuckle quietly hides itself under rocks, keeping its body
concealed inside its hard shell while eating berries it has
stored away. The berries mix with its body fluids to become
a juice."
214,"Heracross",15,540,"Single Horn Pokémon","Heracross has sharp claws on its feet. These are planted
firmly into the ground or the bark of a tree, giving the
Pokémon a secure and solid footing to forcefully fling away
foes with its proud horn."
215,"Sneasel",9,280,"Sharp Claw Pokémon","It uses its claws to poke holes in eggs so it can
slurp out the insides. Breeders consider it a
scourge and will drive it away or eradicate it."
216,"Teddiursa",6,88,"Little Bear Pokémon","This Pokémon likes to lick its palms that are sweetened by
being soaked in honey. Teddiursa concocts its own honey
by blending fruits and pollen collected by Beedrill."
217,"Ursaring",18,1258,"Hibernator Pokémon","In the forests inhabited by Ursaring, it is said that there are
many streams and towering trees where they gather food. This
Pokémon walks through its forest gathering food every day."
218,"Slugma",7,350,"Lava Pokémon","Slugma does not have any blood in its body. Instead, intensely
hot magma circulates throughout this Pokémon’s body,
carrying essential nutrients and oxygen to its organs."
219,"Magcargo",8,550,"Lava Pokémon","Magcargo’s body temperature is approximately
18,000 degrees Fahrenheit. Water is vaporized on contact.
If this Pokémon is caught in the rain, the raindrops instantly
turn into steam, cloaking the area in a thick fog."
220,"Swinub",4,65,"Pig Pokémon","Swinub roots for food by rubbing its snout against the ground.
Its favorite food is a mushroom that grows under the cover of
dead grass. This Pokémon occasionally roots out hot springs."
221,"Piloswine",11,558,"Swine Pokémon","Piloswine is covered by a thick coat of long hair that enables
it to endure the freezing cold. This Pokémon uses its tusks to
dig up food that has been buried under ice."
222,"Corsola",6,50,"Coral Pokémon","Pursued by Mareanie for the branches on its
head, this Pokémon will sometimes snap its own
branches off as a diversion while it escapes."
223,"Remoraid",6,120,"Jet Pokémon","Remoraid sucks in water, then expels it at high velocity using
its abdominal muscles to shoot down flying prey. When
evolution draws near, this Pokémon travels downstream
from rivers."
224,"Octillery",9,285,"Jet Pokémon","Octillery grabs onto its foe using its tentacles. This Pokémon
tries to immobilize it before delivering the finishing blow. If the
foe turns out to be too strong, Octillery spews ink to escape."
225,"Delibird",9,160,"Delivery Pokémon","It has a generous habit of sharing its food with
people and Pokémon, so it’s always scrounging
around for more food."
226,"Mantine",21,2200,"Kite Pokémon","On sunny days, schools of Mantine can be seen elegantly
leaping over the sea’s waves. This Pokémon is not bothered
by the Remoraid that hitches rides."
227,"Skarmory",17,505,"Armor Bird Pokémon","Its metal body is sturdy, but it does rust rather
easily. So on rainy days, this Pokémon prefers
to stay put in its nest."
228,"Houndour",6,108,"Dark Pokémon","Houndour hunt as a coordinated pack. They communicate
with each other using a variety of cries to corner their prey.
This Pokémon’s remarkable teamwork is unparalleled."
229,"Houndoom",14,350,"Dark Pokémon","In a Houndoom pack, the one with its horns raked sharply
toward the back serves a leadership role. These Pokémon
choose their leader by fighting among themselves."
230,"Kingdra",18,1520,"Dragon Pokémon","Kingdra sleeps on the seafloor where it is otherwise devoid
of life. When a storm arrives, the Pokémon is said to awaken
and wander about in search of prey."
231,"Phanpy",5,335,"Long Nose Pokémon","Phanpy uses its long nose to shower itself. When others
gather around, they thoroughly douse each other with water.
These Pokémon can be seen drying their soaking-wet
bodies at the edge of water."
232,"Donphan",11,1200,"Armor Pokémon","If Donphan were to tackle with its hard body, even a house
could be destroyed. Using its massive strength, the Pokémon
helps clear rock and mud slides that block mountain trails."
233,"Porygon2",6,325,"Virtual Pokémon","Porygon was updated to a new version in
readiness for planetary development. But that
dream remains unrealized as yet."
234,"Stantler",14,712,"Big Horn Pokémon","Stantler’s magnificent antlers were traded at high prices as
works of art. As a result, this Pokémon was hunted close to
extinction by those who were after the priceless antlers."
235,"Smeargle",12,580,"Painter Pokémon","It draws symbols all over the place to mark its
territory. In towns with many Smeargle, the walls
are covered in graffiti."
236,"Tyrogue",7,210,"Scuffle Pokémon","Tyrogue becomes stressed out if it does not get to train every
day. When raising this Pokémon, the Trainer must establish
and uphold various training methods."
237,"Hitmontop",14,480,"Handstand Pokémon","Hitmontop spins on its head at high speed, all the while
delivering kicks. This technique is a remarkable mix of both
offense and defense at the same time. The Pokémon travels
faster spinning than it does walking."
238,"Smoochum",4,60,"Kiss Pokémon","Smoochum actively runs about, but also falls quite often.
Whenever the chance arrives, it will look for its reflection to
make sure its face hasn’t become dirty."
239,"Elekid",6,235,"Electric Pokémon","This Pokémon is constantly fighting with
Togedemaru that try to steal its electricity.
It’s a pretty even match."
240,"Magby",7,214,"Live Coal Pokémon","A famous potter lives with a Magby.
Apparently its soft flames produce fine works."
241,"Miltank",12,755,"Milk Cow Pokémon","Most people raise it for its milk, but it’s quite
tough and strong, so it’s also well suited
for battle."
242,"Blissey",15,468,"Happiness Pokémon","Its fluffy fur coat acts as a sensor, enabling it to
read the feelings of people and Pokémon."
243,"Raikou",19,1780,"Thunder Pokémon","Raikou embodies the speed of lightning. The roars of
this Pokémon send shock waves shuddering through the
air and shake the ground as if lightning bolts had come
crashing down."
244,"Entei",21,1980,"Volcano Pokémon","Entei embodies the passion of magma. This Pokémon is
thought to have been born in the eruption of a volcano.
It sends up massive bursts of fire that utterly consume all
that they touch."
245,"Suicune",20,1870,"Aurora Pokémon","Suicune embodies the compassion of a pure spring of water.
It runs across the land with gracefulness. This Pokémon has
the power to purify dirty water."
246,"Larvitar",6,720,"Rock Skin Pokémon","Larvitar is born deep under the ground. To come up to the
surface, this Pokémon must eat its way through the soil above.
Until it does so, Larvitar cannot see its parents."
247,"Pupitar",12,1520,"Hard Shell Pokémon","Pupitar creates a gas inside its body that it compresses and
forcefully ejects to propel itself like a jet. The body is very
durable—it avoids damage even if it hits solid steel."
248,"Tyranitar",20,2020,"Armor Pokémon","Tyranitar is so overwhelmingly powerful, it can bring down a
whole mountain to make its nest. This Pokémon wanders about
in mountains seeking new opponents to fight."
249,"Lugia",52,2160,"Diving Pokémon","Lugia’s wings pack devastating power—a light fluttering of its
wings can blow apart regular houses. As a result, this
Pokémon chooses to live out of sight deep under the sea."
250,"Ho-Oh",38,1990,"Rainbow Pokémon","Ho-Oh’s feathers glow in seven colors depending on the angle
at which they are struck by light. These feathers are said to
bring happiness to the bearers. This Pokémon is said to live at
the foot of a rainbow."
251,"Celebi",6,50,"Time Travel Pokémon","This Pokémon came from the future by crossing over time.
It is thought that so long as Celebi appears, a bright and
shining future awaits us."
252,"Treecko",5,50,"Wood Gecko Pokémon","Treecko is cool, calm, and collected—it never panics under
any situation. If a bigger foe were to glare at this Pokémon,
it would glare right back without conceding an inch of ground."
253,"Grovyle",9,216,"Wood Gecko Pokémon","This Pokémon adeptly flies from branch to branch in trees.
In a forest, no Pokémon can ever hope to catch a fleeing
Grovyle however fast they may be."
254,"Sceptile",17,522,"Forest Pokémon","Sceptile has seeds growing on its back. They are said to be
bursting with nutrients that revitalize trees. This Pokémon
raises the trees in a forest with loving care."
255,"Torchic",4,25,"Chick Pokémon","Torchic has a place inside its body where it keeps its flame.
Give it a hug—it will be glowing with warmth. This Pokémon is
covered all over by a fluffy coat of down."
256,"Combusken",9,195,"Young Fowl Pokémon","Combusken battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokémon’s cry is very loud and distracting."
257,"Blaziken",19,520,"Blaze Pokémon","Blaziken has incredibly strong legs—it can easily clear a
30-story building in one leap. This Pokémon’s blazing punches
leave its foes scorched and blackened."
258,"Mudkip",4,76,"Mud Fish Pokémon","In water, Mudkip breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokémon will unleash
its amazing power—it can crush rocks bigger than itself."
259,"Marshtomp",7,280,"Mud Fish Pokémon","Marshtomp is much faster at traveling through mud than it is at
swimming. This Pokémon’s hindquarters exhibit obvious
development, giving it the ability to walk on just its hind legs."
260,"Swampert",15,819,"Mud Fish Pokémon","Swampert predicts storms by sensing subtle differences in the
sounds of waves and tidal winds with its fins. If a storm is
approaching, it piles up boulders to protect itself."
261,"Poochyena",5,136,"Bite Pokémon","Poochyena is an omnivore—it will eat anything. A distinguishing
feature is how large its fangs are compared to its body. This
Pokémon tries to intimidate its foes by making the hair on its
tail bristle out."
262,"Mightyena",10,370,"Bite Pokémon","Mightyena travel and act as a pack in the wild. The memory
of its life in the wild compels the Pokémon to obey only
those Trainers that it recognizes to possess superior skill."
263,"Zigzagoon",4,175,"Tiny Raccoon Pokémon","The hair on Zigzagoon’s back is bristly. It rubs the hard back
hair against trees to leave its territorial markings. This Pokémon
may play dead to fool foes in battle."
264,"Linoone",5,325,"Rushing Pokémon","When hunting, Linoone will make a beeline straight for the
prey at a full run. While this Pokémon is capable of topping
60 mph, it has to come to a screeching halt before it can turn."
265,"Wurmple",3,36,"Worm Pokémon","Wurmple is targeted by Swellow as prey. This Pokémon
will try to resist by pointing the spikes on its rear at the
attacking predator. It will weaken the foe by leaking poison
from the spikes."
266,"Silcoon",6,100,"Cocoon Pokémon","Silcoon was thought to endure hunger and not consume
anything before its evolution. However, it is now thought
that this Pokémon slakes its thirst by drinking rainwater
that collects on its silk."
267,"Beautifly",10,284,"Butterfly Pokémon","Beautifly has a long mouth like a coiled needle, which is very
convenient for collecting pollen from flowers. This Pokémon
rides the spring winds as it flits around gathering pollen."
268,"Cascoon",7,115,"Cocoon Pokémon","If it is attacked, Cascoon remains motionless however badly it
may be hurt. It does so because if it were to move, its body
would be weak upon evolution. This Pokémon will also not
forget the pain it endured."
269,"Dustox",12,316,"Poison Moth Pokémon","When Dustox flaps its wings, a fine dust is scattered all over.
This dust is actually a powerful poison that will even make a
pro wrestler sick. This Pokémon searches for food using its
antennae like radar."
270,"Lotad",5,26,"Water Weed Pokémon","Lotad is said to have dwelled on land before. However, this
Pokémon is thought to have returned to water because the
leaf on its head grew large and heavy. It now lives by floating
atop the water."
271,"Lombre",12,325,"Jolly Pokémon","Lombre’s entire body is covered by a slippery, slimy film.
It feels horribly unpleasant to be touched by this Pokémon’s
hands. Lombre is often mistaken for a human child."
272,"Ludicolo",15,550,"Carefree Pokémon","Upon hearing an upbeat and cheerful rhythm, the cells in
Ludicolo’s body become very energetic and active. Even
in battle, this Pokémon will exhibit an amazing amount
of power."
273,"Seedot",5,40,"Acorn Pokémon","Seedot looks exactly like an acorn when it is dangling from a
tree branch. It startles other Pokémon by suddenly moving.
This Pokémon polishes its body once a day using leaves."
274,"Nuzleaf",10,280,"Wily Pokémon","This Pokémon pulls out the leaf on its head and makes a flute
with it. The sound of Nuzleaf’s flute strikes fear and uncertainty
in the hearts of people lost in a forest."
275,"Shiftry",13,596,"Wicked Pokémon","Shiftry’s large fans generate awesome gusts of wind at a
speed close to 100 feet per second. The whipped-up wind
blows anything away. This Pokémon chooses to live quietly
deep in forests."
276,"Taillow",3,23,"Tiny Swallow Pokémon","Taillow is young—it has only just left its nest. As a result,
it sometimes becomes lonesome and cries at night.
This Pokémon feeds on Wurmple that live in forests."
277,"Swellow",7,198,"Swallow Pokémon","Swellow is very conscientious about the upkeep of its glossy
wings. Once two Swellow are gathered, they diligently take
care of cleaning each other’s wings."
278,"Wingull",6,95,"Seagull Pokémon","Fishermen keep an eye out for Wingull in the
sky, because wherever they’re circling, the
ocean is sure to be teeming with fish Pokémon."
279,"Pelipper",12,280,"Water Bird Pokémon","Gathering food is the work of young males.
They store food in their capacious beaks and
carry it back to others waiting in the nest."
280,"Ralts",4,66,"Feeling Pokémon","Ralts has the ability to sense the emotions of people. If its
Trainer is in a cheerful mood, this Pokémon grows cheerful
and joyous in the same way."
281,"Kirlia",8,202,"Emotion Pokémon","Kirlia uses the horns on its head to amplify its psychokinetic
power. When the Pokémon uses its power, the air around it
becomes distorted, creating mirages of nonexistent scenery."
282,"Gardevoir",16,484,"Embrace Pokémon","Gardevoir has the psychokinetic power to distort the
dimensions and create a small black hole. This Pokémon
will try to protect its Trainer even at the risk of its own life."
283,"Surskit",5,17,"Pond Skater Pokémon","When this Pokémon senses danger, a sweet
fluid oozes from the tip of its head. The taste
of it disgusts bird Pokémon."
284,"Masquerain",8,36,"Eyeball Pokémon","Its wings and antennae don’t cope well with
moisture. After a rain, it faces sunward to
dry off."
285,"Shroomish",4,45,"Mushroom Pokémon","If Shroomish senses danger, it shakes its body and scatters
spores from the top of its head. This Pokémon’s spores are
so toxic, they make trees and weeds wilt."
286,"Breloom",12,392,"Mushroom Pokémon","The seeds ringing Breloom’s tail are made of hardened toxic
spores. It is horrible to eat the seeds. Just taking a bite of this
Pokémon’s seed will cause your stomach to rumble."
287,"Slakoth",8,240,"Slacker Pokémon","Slakoth’s heart beats just once a minute. Whatever happens,
it is content to loaf around motionless. It is rare to see this
Pokémon in motion."
288,"Vigoroth",14,465,"Wild Monkey Pokémon","Vigoroth is simply incapable of remaining still. Even when it
tries to sleep, the blood in its veins grows agitated, compelling
this Pokémon to run wild throughout the jungle before it can
settle down."
289,"Slaking",20,1305,"Lazy Pokémon","Wherever Slaking live, rings of over a yard in diameter appear
in grassy fields. They are made by the Pokémon as it eats all
the grass within reach while lying prone on the ground."
290,"Nincada",5,55,"Trainee Pokémon","Nincada lives underground. It uses its sharp claws to carve the
roots of trees and absorb moisture and nutrients.
This Pokémon can’t withstand bright sunlight so avoids it."
291,"Ninjask",8,120,"Ninja Pokémon","If Ninjask is not trained properly, it will refuse to obey
the Trainer and cry loudly continuously. Because of this
quality, this Pokémon is said to be one that puts the
Trainer’s abilities to the test."
292,"Shedinja",8,12,"Shed Pokémon","Shedinja is a peculiar Pokémon. It seems to appear unsought
in a Poké Ball after a Nincada evolves. This bizarre Pokémon
is entirely immobile—it doesn’t even breathe."
293,"Whismur",6,163,"Whisper Pokémon","Whismur is very timid. If it starts to cry loudly, it becomes
startled by its own crying and cries even harder. When it finally
stops crying, the Pokémon goes to sleep, all tired out."
294,"Loudred",10,405,"Big Voice Pokémon","Loudred shouts while stamping its feet. After it finishes
shouting, this Pokémon becomes incapable of hearing
anything for a while. This is considered to be a weak point."
295,"Exploud",15,840,"Loud Noise Pokémon","Exploud communicates its feelings to the others by emitting
whistle-like sounds from the tubes on its body. This Pokémon
only raises its voice when it is in battle."
296,"Makuhita",10,864,"Guts Pokémon","Their daily routine consists of training together
first thing in the morning, eating and napping in
the afternoon, and then more training afterward."
297,"Hariyama",23,2538,"Arm Thrust Pokémon","They love to compare their freakish strength—
strength enough to send a truck flying with a
single slap."
298,"Azurill",2,20,"Polka Dot Pokémon","Azurill’s tail is large and bouncy. It is packed full of the
nutrients this Pokémon needs to grow. Azurill can be seen
bouncing and playing on its big, rubbery tail."
299,"Nosepass",10,970,"Compass Pokémon","It uses powerful magnetism to drag its prey
toward it. It’s also been known to pull in metal,
which it collects and uses to protect itself."
300,"Skitty",6,110,"Kitten Pokémon","Skitty is known to chase around playfully after its own tail.
In the wild, this Pokémon lives in holes in the trees of forests.
It is very popular as a pet because of its adorable looks."
301,"Delcatty",11,326,"Prim Pokémon","Delcatty sleeps anywhere it wants without keeping a permanent
nest. If other Pokémon approach it as it sleeps, this Pokémon
will never fight—it will just move away somewhere else."
302,"Sableye",5,110,"Darkness Pokémon","This Pokémon is feared. When its gemstone eyes
begin to glow with a sinister shine, it’s believed
that Sableye will steal people’s spirits away."
303,"Mawile",6,115,"Deceiver Pokémon","Don’t be taken in by this Pokémon’s cute face—it’s very
dangerous. Mawile fools the foe into letting down its guard,
then chomps down with its massive jaws. The steel jaws are
really horns that have been transformed."
304,"Aron",4,600,"Iron Armor Pokémon","Aron has a body of steel. With one all-out charge, this
Pokémon can demolish even a heavy dump truck.
The destroyed dump truck then becomes a handy meal
for the Pokémon."
305,"Lairon",9,1200,"Iron Armor Pokémon","Lairon feeds on iron contained in rocks and water. It makes
its nest on mountains where iron ore is buried. As a result,
the Pokémon often clashes with humans mining the iron ore."
306,"Aggron",21,3600,"Iron Armor Pokémon","Aggron is protective of its environment. If its mountain is
ravaged by a landslide or a fire, this Pokémon will haul
topsoil to the area, plant trees, and beautifully restore its
own territory."
307,"Meditite",6,112,"Meditate Pokémon","Meditite heightens its inner energy through meditation.
It survives on just one berry a day. Minimal eating is another
aspect of this Pokémon’s training."
308,"Medicham",13,315,"Meditate Pokémon","Through the power of meditation, Medicham developed its
sixth sense. It gained the ability to use psychokinetic powers.
This Pokémon is known to meditate for a whole month
without eating."
309,"Electrike",6,152,"Lightning Pokémon","Electrike runs faster than the human eye can follow.
The friction from running is converted into electricity,
which is then stored in this Pokémon’s fur."
310,"Manectric",15,402,"Discharge Pokémon","Manectric discharges strong electricity from its mane.
The mane is used for collecting electricity in the atmosphere.
This Pokémon creates thunderclouds above its head."
311,"Plusle",4,42,"Cheering Pokémon","When Plusle is cheering on its partner, it flashes with electric
sparks from all over its body. If its partner loses, this Pokémon
cries loudly."
312,"Minun",4,42,"Cheering Pokémon","Minun loves to cheer on its partner in battle. It gives off sparks
from its body while it is doing so. If its partner is in trouble,
this Pokémon gives off increasing amounts of sparks."
313,"Volbeat",7,177,"Firefly Pokémon","Volbeat’s tail glows like a lightbulb. With other Volbeat,
it uses its tail to draw geometric shapes in the night sky.
This Pokémon loves the sweet aroma given off by Illumise."
314,"Illumise",6,177,"Firefly Pokémon","Illumise leads a flight of illuminated Volbeat to draw signs in
the night sky. This Pokémon is said to earn greater respect
from its peers by composing more complex designs in the sky."
315,"Roselia",3,20,"Thorn Pokémon","On extremely rare occasions, a Roselia is said to appear with
its flowers in unusual colors. The thorns on this Pokémon’s
head contain a vicious poison."
316,"Gulpin",4,103,"Stomach Pokémon","Most of Gulpin’s body is made up of its stomach—its heart and
brain are very small in comparison. This Pokémon’s stomach
contains special enzymes that dissolve anything."
317,"Swalot",17,800,"Poison Bag Pokémon","Swalot has no teeth, so what it eats, it swallows whole, no
matter what. Its cavernous mouth yawns widely. An automobile
tire could easily fit inside this Pokémon’s mouth."
318,"Carvanha",8,208,"Savage Pokémon","If they scent the faintest trace of blood, they
rush to attack en masse. When alone, they’re
rather cowardly."
319,"Sharpedo",18,888,"Brutal Pokémon","It has a sad history. In the past, its dorsal fin
was a treasured foodstuff, so this Pokémon
became a victim of overfishing."
320,"Wailmer",20,1300,"Ball Whale Pokémon","It shows off by spraying jets of seawater from
the nostrils above its eyes. It eats a solid ton of
Wishiwashi every day."
321,"Wailord",145,3980,"Float Whale Pokémon","Its immense size is the reason for its popularity.
Wailord watching is a favorite sightseeing
activity in various parts of the world."
322,"Numel",7,240,"Numb Pokémon","Numel stores magma of almost 2,200 degrees Fahrenheit
within its body. If it gets wet, the magma cools and hardens.
In that event, the Pokémon’s body grows heavy and its
movements become sluggish."
323,"Camerupt",19,2200,"Eruption Pokémon","The humps on Camerupt’s back are formed by a transformation
of its bones. They sometimes blast out molten magma.
This Pokémon apparently erupts often when it is enraged."
324,"Torkoal",5,804,"Coal Pokémon","If the fire burning within its shell goes out, it will
die. Those who wish to raise one in their home
must always keep something flammable at hand."
325,"Spoink",7,306,"Bounce Pokémon","Spoink keeps a pearl on top of its head. The pearl functions to
amplify this Pokémon’s psychokinetic powers. It is therefore on
a constant search for a bigger pearl."
326,"Grumpig",9,715,"Manipulate Pokémon","Grumpig uses the black pearls on its body to wield
its fantastic powers. When it is doing so, it dances bizarrely.
This Pokémon’s black pearls are valuable as works of art."
327,"Spinda",11,50,"Spot Panda Pokémon","Each and every Spinda has a slightly different
configuration of spots. There are collectors who
enjoy the tiny differences in their spot patterns."
328,"Trapinch",7,150,"Ant Pit Pokémon","As it digs through the sand, its giant jaws
crush any rocks that obstruct its path. It builds
a funnel-shaped nest."
329,"Vibrava",11,153,"Vibration Pokémon","To help make its wings grow, it dissolves
quantities of prey in its digestive juices and
guzzles them down every day."
330,"Flygon",20,820,"Mystic Pokémon","This Pokémon hides in the heart of sandstorms
it creates and seldom appears where people
can see it."
331,"Cacnea",4,513,"Cactus Pokémon","The more arid and harsh the environment, the more pretty and
fragrant a flower Cacnea grows. This Pokémon battles by
wildly swinging its thorny arms."
332,"Cacturne",13,774,"Scarecrow Pokémon","If a traveler is going through a desert in the thick of night,
Cacturne will follow in a ragtag group. The Pokémon are
biding their time, waiting for the traveler to tire and become
incapable of moving."
333,"Swablu",4,12,"Cotton Bird Pokémon","Swablu loves to make things clean. If it spots something dirty,
it will wipe and polish it with its cottony wings. If its wings
become dirty, this Pokémon finds a stream and showers itself."
334,"Altaria",11,206,"Humming Pokémon","Altaria sings in a gorgeous soprano. Its wings are like cotton
clouds. This Pokémon catches updrafts with its buoyant wings
and soars way up into the wild blue yonder."
335,"Zangoose",13,403,"Cat Ferret Pokémon","Zangoose usually stays on all fours, but when angered, it gets
up on its hind legs and extends its claws. This Pokémon shares
a bitter rivalry with Seviper that dates back over generations."
336,"Seviper",27,525,"Fang Snake Pokémon","Seviper’s swordlike tail serves two purposes—it slashes foes
and douses them with secreted poison. This Pokémon will not
give up its long-running blood feud with Zangoose."
337,"Lunatone",10,1680,"Meteorite Pokémon","Lunatone becomes active around the time of the full moon.
Instead of walking, it moves by floating in midair.
The Pokémon’s intimidating red eyes cause all those who
see it to become transfixed with fear."
338,"Solrock",12,1540,"Meteorite Pokémon","Sunlight is the source of Solrock’s power. It is said to possess
the ability to read the emotions of others. This Pokémon gives
off intense heat while rotating its body."
339,"Barboach",4,19,"Whiskers Pokémon","Its slippery body is hard to grasp, so much so
that there are festivals where people compete
to see how many they can catch barehanded."
340,"Whiscash",9,236,"Whiskers Pokémon","Sighting Whiscash leaping from the water
is believed to herald an earthquake."
341,"Corphish",6,115,"Ruffian Pokémon","Corphish catches prey with its sharp claws. It has no
likes or dislikes when it comes to food—it will eat anything.
This Pokémon has no trouble living in filthy water."
342,"Crawdaunt",11,328,"Rogue Pokémon","Crawdaunt molts (sheds) its shell regularly. Immediately after
molting, its shell is soft and tender. Until the shell hardens,
this Pokémon hides in its streambed burrow to avoid attack
from its foes."
343,"Baltoy",5,215,"Clay Doll Pokémon","As soon as it spots others of its kind, Baltoy congregates with
them and then begins crying noisily in unison. This Pokémon
sleeps while cleverly balancing itself on its one foot."
